rh_id,n_ref,not_included,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
RH_fiche_1_,Ref_0001,,Actualisé (S.),11,=11=,Alzonne,,FEP Médiathèque,Carcasonne Agglo,11170,Parc municipal,,Parc municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02,43.254495,2.175926,Rue du Parc 11170 Alzonne,0.49,street,11009_0096,,Rue du Parc,,11170,Alzonne,"11, Aude, Occitanie",11009,,,
RH_fiche_2_,Ref_0002,,,11,=11=,Berriac,,Le Relai,,11000,,,11000 Berriac,,,Association,,,,43.213065,2.402611,Berriac,0.94,municipality,11037,,Berriac,,11000,Berriac,"11, Aude, Occitanie",11037,,,
RH_fiche_3_,Ref_0003,,,11,=11=,Bouisse,,Maison de services au public POM's de Bouisse,,11330,11 Avenue Las Nautas Corbieras,,11 Avenue Las Nautas Corbieras 11330 Bouisse,,,,MSAP,,04 68 48 88 73,42.986901,2.45379,11 Avenue de Las Nautas Corbieras 11330 Bouisse,0.88,housenumber,11044_0041_00011,11,Avenue de Las Nautas Corbieras,,11330,Bouisse,"11, Aude, Occitanie",11044,,,
RH_fiche_4_,Ref_0004,,Actualisé (S.),11,=11=,Boutenac,,Mediatheque Milcom de Boutenac,,11200,8 Boulevard de Ronde,,8 Boulevard de Ronde 11200 Boutenac,,,collectivité territoriale,Médiathèque,,04 68 45 79 61,43.147672,2.788775,8 Boulevard de Ronde 11200 Boutenac,0.94,housenumber,11048_0100_00008,8,Boulevard de Ronde,,11200,Boutenac,"11, Aude, Occitanie",11048,,,
RH_fiche_5_,Ref_0005,,,11,=11=,Bram,,France Services - Piège Lauragais Malepere,Communauté De Commune PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,62 rue bonrepos 11150 Bram,,,collectivité territoriale,,,,43.241583,2.118852,62 Rue Bonrepos 11150 Bram,0.96,housenumber,11049_0021_00062,62,Rue Bonrepos,,11150,Bram,"11, Aude, Occitanie",11049,,,
RH_fiche_6_,Ref_0006,,,11,=11=,Capendu,,France Services / MSAP - Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,,,collectivité territoriale,,,,43.184142,2.556949,2 Rue des Figuéres 11700 Capendu,0.95,housenumber,11068_0035_00002,2,Rue des Figuéres,,11700,Capendu,"11, Aude, Occitanie",11068,,,
RH_fiche_7_,Ref_0007,,Actualisé (S.),11,=11=,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,CARCASSONNE AGGLO,11000,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,,,collectivité territoriale,,,04.68.11.95.58,43.21177,2.324315,20 Rue Claude Chappe 11000 Carcassonne,0.94,housenumber,11069_1009_00020,20,Rue Claude Chappe,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_8_,Ref_0008,,Actualisé (S.),11,=11=,Carcassonne,,Régie de quartier,Le Comité National de liaison des Régies de quartier,11000,46 bis rue Alexandre Guiraud,,46 bis rue Alexandre Guiraud 11000 Carcassonne,,,Association,,,04 68 47 22 71 / 04 68 25 80 32,43.213581,2.366162,46bis Rue Alexandre Guiraud 11000 Carcassonne,0.91,housenumber,11069_0150_00046_bis,46bis,Rue Alexandre Guiraud,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_9_,Ref_0009,,,11,=11=,Carcassonne,,Espace Culturel Multimédia,,11000,,,11000 Carcassonne,,,collectivité territoriale,,,,43.20678,2.349411,Carcassonne,0.95,municipality,11069,,Carcassonne,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_10_,Ref_0010,,Actualisé (S.),11,=11=,Narbonne,,acti city - Information Jeunesse,,11100,13 BOULEVARD GAMBETTA,,13 BOULEVARD GAMBETTA 11100 Narbonne,,,Association,,,04 68 25 12 25,43.182781,3.007413,13 Boulevard Gambetta 11100 Narbonne,0.97,housenumber,11262_2130_00013,13,Boulevard Gambetta,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_11_,Ref_0011,,,11,=11=,Carcassonne,,Logigames,,11000,25 boulevard de Varsovie,,25 boulevard de Varsovie 11000 Carcassonne,,,Entreprise,,,04 68 72 67 04,43.213934,2.346802,25 Boulevard de Varsovie 11000 Carcassonne,0.97,housenumber,11069_4520_00025,25,Boulevard de Varsovie,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_12_,Ref_0012,,,11,=11=,Caves,,ATRIUM,,11510,,,11510 Caves,,,,,,,42.93109,2.974247,Caves,0.93,municipality,11086,,Caves,,11510,Caves,"11, Aude, Occitanie",11086,,,
RH_fiche_13_,Ref_0013,,,11,=11=,Davejean,,Maison de services au public POM'S de Davejean,,11330,rue de la poste,,rue de la poste 11330 Davejean,,,,MSAP,,04 68 70 09 47,42.96053,2.606019,Rue de la Poste 11330 Davejean,0.94,street,11117_0037,,Rue de la Poste,,11330,Davejean,"11, Aude, Occitanie",11117,,,
RH_fiche_14_,Ref_0014,,,11,=11=,Fabrezan,,Mediatheque Milcom de Fabrezan,,11200,1 Avenue de la Mairie,,1 Avenue de la Mairie 11200 Fabrezan,,,collectivité territoriale,Médiathèque,,04 68 43 71 92,43.137194,2.70024,1 Avenue de la Mairie 11200 Fabrezan,0.95,housenumber,11132_0076_00001,1,Avenue de la Mairie,,11200,Fabrezan,"11, Aude, Occitanie",11132,,,
RH_fiche_15_,Ref_0015,,,11,=11=,Lezignan,,Isis (epicerie solidaire),,11200,39 rue Lamartine,,39 rue Lamartine 11200 Lezignan,,,Association,,,,43.202429,2.757544,39 Rue Lamartine 11200 Lézignan-Corbières,0.73,housenumber,11203_0900_00039,39,Rue Lamartine,,11200,Lézignan-Corbières,"11, Aude, Occitanie",11203,,,
RH_fiche_16_,Ref_0016,,,11,=11=,Lezignan Corbières,,MJC Lezignan Corbières,,11200,25 Rue Marat,,25 Rue Marat 11200 Lezignan Corbières,,,Association,MJC,,04 68 27 03 34,43.199696,2.757916,25 Rue Marat 11200 Lézignan-Corbières,0.96,housenumber,11203_1030_00025,25,Rue Marat,,11200,Lézignan-Corbières,"11, Aude, Occitanie",11203,,,
RH_fiche_17_,Ref_0017,X,,65,=65=,Bagnères de Bigorre,,Maison Départementale de la Solidarité site de Bagnères,,65200,1 avenue de Castelmouly,,1 avenue de Castelmouly 65200 Bagnères de Bigorre,,,,,Département des Hautes Pyrénées,05 31 74 36 20,43.070241,0.148586,1 Rue du Castelmouly 65200 Bagnères-de-Bigorre,0.77,housenumber,65059_0195_00001,1,Rue du Castelmouly,,65200,Bagnères-de-Bigorre,"65, Hautes-Pyrénées, Occitanie",65059,,,
RH_fiche_18_,Ref_0018,,,11,=11=,Limoux,,France Services - Limouxin,MSA,11300,17 chemin Farinier,,17 chemin Farinier 11300 Limoux,,,,,,,43.057309,2.213259,17 Chemin Farinier 11300 Limoux,0.96,housenumber,11206_0470_00017,17,Chemin Farinier,,11300,Limoux,"11, Aude, Occitanie",11206,,,
RH_fiche_19_,Ref_0019,,,11,=11=,Limoux,,TIERS LIEUX LIMOUX,,11300,7  rue du Cougaing,,7  rue du Cougaing 11300 Limoux,,,SCIC SARL,SCIC SAPIE,,468747330,43.055492,2.212835,7 Rue du Cougaing 11300 Limoux,0.96,housenumber,11206_0360_00007,7,Rue du Cougaing,,11300,Limoux,"11, Aude, Occitanie",11206,,,
RH_fiche_20_,Ref_0020,,,11,=11=,Mouthoumet,,Centre social Adhco,,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,,,,Centre social,,04 68 70 18 50,42.960106,2.528877,23 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00023,23,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
RH_fiche_21_,Ref_0021,,,11,=11=,Mouthoumet,,France Services - Massif de Mouthoumet,ADHCO CENTRE SOCIAL,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,,,Association,,,04 68 70 18 50,42.960106,2.528877,23 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00023,23,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
RH_fiche_22_,Ref_0022,,,11,=11=,Narbonne,,Ecole régionale deuxieme chance,,11000,,,11000 Narbonne,,,,,,,43.205257,2.401897,Route de Narbonne 11000 Carcassonne,0.53,street,11069_3187,,Route de Narbonne,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_23_,Ref_0023,,,11,=11=,Narbonne,,Versus Internet Café,,11000,,,11000 Narbonne,,,,,,,43.205257,2.401897,Route de Narbonne 11000 Carcassonne,0.53,street,11069_3187,,Route de Narbonne,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_24_,Ref_0024,,,11,=11=,Narbonne,,Maison de la l'Emploi et de la Formation,,11000,,,11000 Narbonne,,,,,,,43.205257,2.401897,Route de Narbonne 11000 Carcassonne,0.53,street,11069_3187,,Route de Narbonne,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_25_,Ref_0025,,,11,=11=,Narbonne,,Centre social Aide Mutuelle à l'Insertion,,11000,24 boulevard Frédéric Mistral,,24 boulevard Frédéric Mistral 11000 Narbonne,,,,Centre social,,04 68 65 07 10,43.18616,3.002234,24 Boulevard Frederic Mistral 11100 Narbonne,0.93,housenumber,11262_2080_00024,24,Boulevard Frederic Mistral,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_26_,Ref_0026,,,11,=11=,Narbonne,,Centre Social et Culturel Nelson MANDELA,,11000,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11000 Narbonne,,,,Centre social,,04 68 41 77 26,43.187463,2.985839,4 Promenade Emilie Palomo 11100 Narbonne,0.91,housenumber,11262_rldo2e_00004,4,Promenade Emilie Palomo,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_27_,Ref_0027,,,11,=11=,Port la Nouvelle,,Le Lieu Ressources Littoral,,11210,222 rue de la Mairie,,222 rue de la Mairie 11210 Port la Nouvelle,,,,,,04.68.40.37.45,43.021057,3.042541,222 Rue de la Mairie 11210 Port-la-Nouvelle,0.96,housenumber,11266_0212_00222,222,Rue de la Mairie,,11210,Port-la-Nouvelle,"11, Aude, Occitanie",11266,,,
RH_fiche_28_,Ref_0028,,,11,=11=,Narbonne,,France Services - PIMMS du Narbonnais,Union Nationale des PIMMS,11000,8 avenue du Maréchal Foch,,8 avenue du Maréchal Foch 11000 Narbonne,,,,PIMMS MSAP,,04 68 43 68 93,43.187225,3.005378,8 Avenue du Marechal Foch 11100 Narbonne,0.92,housenumber,11262_3420_00008,8,Avenue du Marechal Foch,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_29_,Ref_0029,,,11,=11=,Narbonne,,INESS GRAND NARBONNE,C.C GRAND NARBONNE,11100,30 avenue Pompidor,,30 avenue Pompidor 11100 Narbonne,,,Collectivites,,,04 11 23 22 00,43.182245,2.979074,30 Avenue Pompidor 11100 Narbonne,0.97,housenumber,11262_1636_00030,30,Avenue Pompidor,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_30_,Ref_0030,,,11,=11=,Saint Marcel sur Aude,,France Services - Centre Socioculturel et Familial ‘Les Passerelles’,,11120,107 avenue de Saint Pons,BP 8,107 avenue de Saint Pons 11120 Saint Marcel sur Aude,,,,Centre social,,04 30 16 67 15 ,43.251553,2.914701,107 Avenue de Saint Pons 11120 Saint-Marcel-sur-Aude,0.96,housenumber,11353_0154_00107,107,Avenue de Saint Pons,,11120,Saint-Marcel-sur-Aude,"11, Aude, Occitanie",11353,,,
RH_fiche_31_,Ref_0031,,,11,=11=,Salles sur l'hers,,France Services - Centre social Energies de la Piège,Castelnaudary Lauragais Audois,11410,9 Rue des Rosiers,,9 Rue des Rosiers 11410 Salles sur l'hers,,,Association,MSAP,,04 68 60 38 98,43.293572,1.782541,9 Rue des Rosiers 11410 Salles-sur-l'Hers,0.95,housenumber,11371_0049_00009,9,Rue des Rosiers,,11410,Salles-sur-l'Hers,"11, Aude, Occitanie",11371,,,
RH_fiche_32_,Ref_0032,,,11,=11=,Sigean,,France Services - PIMMS - Corbières Méditerranée,Union Nationale des PIMMS,11130,2 place de la Libération,,2 place de la Libération 11130 Sigean,,,,PIMMS,,04 68 33 51 12,43.0288,2.979497,2 Place de la Liberation 11130 Sigean,0.96,housenumber,11379_0082_00002,2,Place de la Liberation,,11130,Sigean,"11, Aude, Occitanie",11379,,,
RH_fiche_33_,Ref_0033,,,11,=11=,Thezan des corbieres,,Espace Public Numérique de la Contrée de Durban-Corbières,,11200,,,11200 Thezan des corbieres,,,,,,,43.080495,2.785339,Thézan-des-Corbières,0.93,municipality,11390,,Thézan-des-Corbières,,11200,Thézan-des-Corbières,"11, Aude, Occitanie",11390,,,
RH_fiche_34_,Ref_0034,,,11,=11=,Argens-minervois,,Tiers-lieu « l’oppidum »,,11200,18 Rue de l’ancienne forge,,18 Rue de l’ancienne forge 11200 Argens-minervois,,,,,,06 41 28 46 74,43.242061,2.766053,18 Rue de l’Ancienne Forge 11200 Argens-Minervois,0.95,housenumber,11013_0008_00018,18,Rue de l’Ancienne Forge,,11200,Argens-Minervois,"11, Aude, Occitanie",11013,,,
RH_fiche_35_,Ref_0035,,,11,=11=,CARCASSONNE,,MEDIATHEQUE GRAIN D’SEL,Carcassonne Agglo,11000,Rue Fédou,,Rue Fédou 11000 CARCASSONNE,,,,Médiathèque,,04 68 10 35 50,43.21348,2.357953,Rue Fédou 11000 Carcassonne,0.97,street,11069_1500,,Rue Fédou,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_36_,Ref_0036,,,11,=11=,Chalabre,,Maison de Services au Public de Chalabre,La Poste,11230,Bureau de poste Avenue Auguste Cathala,,Bureau de poste Avenue Auguste Cathala 11230 Chalabre,,,,MSAP,,,42.984047,2.00729,Avenue Auguste Cathala 11230 Chalabre,0.67,street,11091_0020,,Avenue Auguste Cathala,,11230,Chalabre,"11, Aude, Occitanie",11091,,,
RH_fiche_37_,Ref_0037,,,11,=11=,Axat,,Maison de Services au Public d’Axat,La Poste,11140,Bureau de poste 1 Place du Jardin public,,Bureau de poste 1 Place du Jardin public 11140 Axat,,,,MSAP,,,42.800938,2.230193,1 Rue des Jardins 11140 Axat,0.35,housenumber,11021_0116_00001,1,Rue des Jardins,,11140,Axat,"11, Aude, Occitanie",11021,,,
RH_fiche_38_,Ref_0038,,,11,=11=,Belcaire,,Maison de Services au Public de Belcaire,La Poste,11340,Bureau de poste 10 rue de la Poste,,Bureau de poste 10 rue de la Poste 11340 Belcaire,,,,MSAP,,04 68 20 32 76,42.816606,1.960823,10 Rue de la Poste 11340 Belcaire,0.64,housenumber,11028_0045_00010,10,Rue de la Poste,,11340,Belcaire,"11, Aude, Occitanie",11028,,,
RH_fiche_39_,Ref_0039,,,11,=11=,Belvèze-du-Razès,,Maison de Services au Public de Belvèze-du-Razès,La Poste,11240,Bureau de poste 27 allée des Platanes,,Bureau de poste 27 allée des Platanes 11240 Belvèze-du-Razès,,,,MSAP,,04 68 69 00 60,43.125174,2.097443,27 Allée des Platanes 11240 Belvèze-du-Razès,0.71,housenumber,11034_0057_00027,27,Allée des Platanes,,11240,Belvèze-du-Razès,"11, Aude, Occitanie",11034,,,
RH_fiche_40_,Ref_0040,,,11,=11=,Couiza,,Maison de Services au Public de Couiza,La Poste,11190,Bureau de poste 20 RN Pyrénées,,Bureau de poste 20 RN Pyrénées 11190 Couiza,,,,MSAP,,,42.941516,2.253501,Route des Pyrénées 11190 Couiza,0.53,street,11103_0024,,Route des Pyrénées,,11190,Couiza,"11, Aude, Occitanie",11103,,,
RH_fiche_41_,Ref_0041,,,11,=11=,Villasavary,,Maison de Services au Public de Villasavary,,11150,42 rue du Barry,,42 rue du Barry 11150 Villasavary,,,,MSAP,,04 68 11 93 95,43.219841,2.039813,42 Rue du Barry 11150 Villasavary,0.96,housenumber,11418_0009_00042,42,Rue du Barry,,11150,Villasavary,"11, Aude, Occitanie",11418,,,
RH_fiche_42_,Ref_0042,,,11,=11=,Narbonne,,Maison des Potes,,11100,5 rue Baudin,,5 rue Baudin 11100 Narbonne,,,Association,,,04 68 65 10 55,43.1851,3.005788,5 Rue Baudin 11100 Narbonne,0.97,housenumber,11262_0600_00005,5,Rue Baudin,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_43_,Ref_0043,,,11,=11=,Narbonne,,L'Arche,,11100,1 rue de l'Orbieu,,1 rue de l'Orbieu 11100 Narbonne,,,Association,,,04 68 41 03 65,43.183984,2.981618,Rue de l’Orbieu 11100 Narbonne,0.91,street,11262_3828,,Rue de l’Orbieu,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_44_,Ref_0044,,,11,=11=,Narbonne,,Centre Social et Culturel NELSON MANDELA,,11100,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11100 Narbonne,,,,Centre social,,04 68 41 77 26,43.187463,2.985839,4 Promenade Emilie Palomo 11100 Narbonne,0.96,housenumber,11262_rldo2e_00004,4,Promenade Emilie Palomo,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_45_,Ref_0045,,,11,=11=,Carcassonne,,Ecole de la seconde chance,,11000,82 Rue Barbacane,,82 Rue Barbacane 11000 Carcassonne,,,,,,04 68 25 56 74,43.2084,2.360942,82 Rue Barbacane 11000 Carcassonne,0.97,housenumber,11069_0470_00082,82,Rue Barbacane,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
RH_fiche_46_,Ref_0046,,,11,=11=,Narbonne,,MAISON DIGITALE DU CIDFF,,11100,37 avenue des Pyrénées,,37 avenue des Pyrénées 11100 Narbonne,,,,,,04.68.42.51.33,43.182851,2.99778,37 Avenue des Pyrenees 11100 Narbonne,0.97,housenumber,11262_4300_00037,37,Avenue des Pyrenees,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_47_,Ref_0047,,,11,=11=,Narbonne,,LA BULLE DU WEB (WAW-coworking),,11100,12 Boulevard Gambetta,,12 Boulevard Gambetta 11100 Narbonne,,,,,,09 82 38 35 49,43.182401,3.007402,12 Boulevard Gambetta 11100 Narbonne,0.97,housenumber,11262_2130_00012,12,Boulevard Gambetta,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_48_,Ref_0048,,,11,=11=,Narbonne,,Ecole de la seconde Chance,,11100,1 avenue gustave eiffel,,1 avenue gustave eiffel 11100 Narbonne,,,,,,04 68 40 34 12,43.158696,2.978507,1 Avenue Gustave Eiffel 11100 Narbonne,0.97,housenumber,11262_2377_00001,1,Avenue Gustave Eiffel,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
RH_fiche_49_,Ref_0049,,,11,=11=,Caunes-Minervois,,Maison de services au public Caunes-Minervois,,11160,Allée des Raisins,,Allée des Raisins 11160 Caunes-Minervois,,,,MSAP,,,43.327227,2.523028,Allée des Raisins 11160 Caunes-Minervois,0.95,street,11081_0179,,Allée des Raisins,,11160,Caunes-Minervois,"11, Aude, Occitanie",11081,,,
RH_fiche_50_,Ref_0050,,,11,=11=,Durban-Corbières,,France Services - Durban-Corbières,,11360,6 Rue de la Mairie,,6 Rue de la Mairie 11360 Durban-Corbières,,,,MSAP,,04 68 45 89 00,42.99612,2.81385,6 Rue de la Mairie 11360 Durban-Corbières,0.95,housenumber,11124_0126_00006,6,Rue de la Mairie,,11360,Durban-Corbières,"11, Aude, Occitanie",11124,,,
RH_fiche_51_,Ref_0051,,,11,=11=,Palaja,,Médiathèque Municipale de Palaja,,11570,Rue Lô Moral,,Rue Lô Moral 11570 Palaja,,,,Médiathèque,,04 68 79 85 73,43.174999,2.387838,Rue Lo Moral 11570 Palaja,0.95,street,11272_0077,,Rue Lo Moral,,11570,Palaja,"11, Aude, Occitanie",11272,,,
RH_fiche_52_,Ref_0052,,,11,=11=,Alzonne,,Médiathèque d'Alzonne,,11170,Parc Municipal,,Parc Municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02,43.254495,2.175926,Rue du Parc 11170 Alzonne,0.49,street,11009_0096,,Rue du Parc,,11170,Alzonne,"11, Aude, Occitanie",11009,,,
RH_fiche_53_,Ref_0053,,,11,=11=,Capendu,,Maison de services au public - Piemont d'Alaric,,11700,2 Rue des Figuères,,2 Rue des Figuères 11700 Capendu,,,,MSAP,,04 68 79 87 01,43.184142,2.556949,2 Rue des Figuéres 11700 Capendu,0.95,housenumber,11068_0035_00002,2,Rue des Figuéres,,11700,Capendu,"11, Aude, Occitanie",11068,,,
RH_fiche_54_,Ref_0054,,,11,=11=,Capendu,,Le Chai : Espace culturel,,11700,63 Avenue des Anciens Combattants,,63 Avenue des Anciens Combattants 11700 Capendu,,,Association,,,04 68 79 37 91,43.187031,2.551455,63 Avenue des Anciens Combattants 11700 Capendu,0.96,housenumber,11068_0007_00063,63,Avenue des Anciens Combattants,,11700,Capendu,"11, Aude, Occitanie",11068,,,
RH_fiche_55_,Ref_0055,,,11,=11=,Axat,,Mairie d'Axat,,11140,66 Route Départementale,,66 Route Départementale 11140 Axat,,,collectivité territoriale,,,04 68 20 50 28,42.80471,2.234378,66 Route Departementale 11140 Axat,0.95,housenumber,11021_0105_00066,66,Route Departementale,,11140,Axat,"11, Aude, Occitanie",11021,,,
RH_fiche_56_,Ref_0056,,,11,=11=,Espezel,,Médiathèque du Pays de Sault,,11230,Grand'Rue,,Grand'Rue 11230 Espezel,,,,Médiathèque,,04 68 74 38 93,42.88641,2.045127,Route d’Espezel 11230 Puivert,0.49,street,11303_1pw26y,,Route d’Espezel,,11230,Puivert,"11, Aude, Occitanie",11303,,,
RH_fiche_57_,Ref_0057,,,11,=11=,Chalabre,,Bibliothèque Municipale de Chalabre,,11230,4 Rue des Boulangers,,4 Rue des Boulangers 11230 Chalabre,,,,Bibliothèque,,04 68 69 49 06,42.983704,2.006451,Rue des Boulangers 11230 Chalabre,0.9,street,11091_0040,,Rue des Boulangers,,11230,Chalabre,"11, Aude, Occitanie",11091,,,
RH_fiche_58_,Ref_0058,,,11,=11=,Espéraza,,Médiathèque d'Espéraza,,11260,avenue de la gare,,avenue de la gare 11260 Espéraza,,,,Médiathèque,,04 68 74 13 51,42.935189,2.219577,Avenue de la Gare 11260 Espéraza,0.96,street,11129_0130,,Avenue de la Gare,,11260,Espéraza,"11, Aude, Occitanie",11129,,,
RH_fiche_59_,Ref_0059,,,11,=11=,Villerouge-Termenès,,Maison de services au public POM'S de Villerouge-Termenès,,11330,8 Rue du Couvent,,8 Rue du Couvent 11330 Villerouge-Termenès,,,,MSAP,,04 68 70 00 16,43.007073,2.627163,8 Rue du Couvent 11330 Villerouge-Termenès,0.94,housenumber,11435_0065_00008,8,Rue du Couvent,,11330,Villerouge-Termenès,"11, Aude, Occitanie",11435,,,
RH_fiche_60_,Ref_0060,,,11,=11=,Tuchan,,France Services - Tuchan,,11350,21 rue de la poste,,21 rue de la poste 11350 Tuchan,,,,MSAP,,04 68 42 42 41,42.889375,2.718155,21 Rue de la Poste 11350 Tuchan,0.95,housenumber,11401_0083_00021,21,Rue de la Poste,,11350,Tuchan,"11, Aude, Occitanie",11401,,,
RH_fiche_61_,Ref_0061,,,11,=11=,Trèbes,,Médiathèque de Trèbes,,11800,place de l'hôtel de ville,,place de l'hôtel de ville 11800 Trèbes,,,,Médiathèque,,04 68 78 51 33,43.209491,2.442856,Place de l’Hôtel de Ville 11800 Trèbes,0.95,street,11397_0122,,Place de l’Hôtel de Ville,,11800,Trèbes,"11, Aude, Occitanie",11397,,,
RH_fiche_62_,Ref_0062,,,11,=11=,Saint-Laurent de la Cabrerisse,,Médiathèque de Saint-Laurent de la Cabrerisse,,11220,22 avenue de narbonne,,22 avenue de narbonne 11220 Saint-Laurent de la Cabrerisse,,,,Médiathèque,,04 68 33 39 30,43.08489,2.70105,22 Avenue de Narbonne 11220 Saint-Laurent-de-la-Cabrerisse,0.95,housenumber,11351_0001_00022,22,Avenue de Narbonne,,11220,Saint-Laurent-de-la-Cabrerisse,"11, Aude, Occitanie",11351,,,
RH_fiche_63_,Ref_0063,,,11,=11=,Saint-André de Roquelongue,,Médiathèque Milcom de Saint-André de Roquelongue,,11200,120 rue des écoles,,120 rue des écoles 11200 Saint-André de Roquelongue,,,,Médiathèque,,04 68 45 17 56,43.114915,2.838263,Rue des Écoles 11200 Saint-André-de-Roquelongue,0.88,street,11332_0059,,Rue des Écoles,,11200,Saint-André-de-Roquelongue,"11, Aude, Occitanie",11332,,,
RH_fiche_64_,Ref_0064,,,11,=11=,Limoux,,Espace Public Numérique de la MLIDR11 Limoux,,11300,5 avenue de la gare,,5 avenue de la gare 11300 Limoux,,,,,,04 68 74 70 90,43.05643,2.221904,5 Avenue de la Gare 11300 Limoux,0.96,housenumber,11206_0510_00005,5,Avenue de la Gare,,11300,Limoux,"11, Aude, Occitanie",11206,,,
RH_fiche_65_,Ref_0065,,,11,=11=,Laroque de Fa,,Maison de services au public POM'S Laroque de Fa,,11330,6 rue de la mairie,,6 rue de la mairie 11330 Laroque de Fa,,,,MSAP,,04 68 70 08 27,42.956407,2.564615,Rue de la Mairie 11330 Laroque-de-Fa,0.89,street,11191_0024,,Rue de la Mairie,,11330,Laroque-de-Fa,"11, Aude, Occitanie",11191,,,
RH_fiche_66_,Ref_0066,,,11,=11=,Lanet,,Maison de services au public POM'S de Lanet,,11330,Place de la mairie,,Place de la mairie 11330 Lanet,,,,MSAP,,04 68 70 02 34,42.964192,2.495528,Rue de la Mairie 11330 Lanet,0.76,street,11187_0011,,Rue de la Mairie,,11330,Lanet,"11, Aude, Occitanie",11187,,,
